CASE_NUMBER,STATUS,APPLICATION_SUBMITTED_DATE,COMPLETED_DATE,CANCELLATION_DATE,BROKER_ID,BROKER_FIRM_ID,LOAN_AMOUNT,PROPERTY_CATEGORY
33,CANCELLED,2021-01-12 17:22:25.000000000,,2021-09-27 14:20:25.000000000,b1a7d9e0-6d3b-4f31-80b3-da8884b9aa87,1221bf801f26715febdf7117bc38b502a0601b18af90289a33104b570ca5b9a9,199966.000000,MUFB
39,CANCELLED,2021-01-08 12:37:18.000000000,,2020-12-17 14:17:24.000000000,c95adf40-2d9b-4dc5-85c0-107b6634ae92,c69fc6b68282abb72ec6936a849c57fe7c44a08b54c725ce0b687e5acb1b25d1,326250.000000,HMO
48,CANCELLED,2021-01-15 16:28:06.000000000,,,6808c4fd-ced5-4665-a602-844943fb0d04,325e020b9b40396ac5ff326b7234c285df54d00cde90602ec5c55caf09fb07b6,446705.500000,MUFB
49,CANCELLED,2021-01-05 10:50:38.000000000,,2021-03-12 16:16:05.000000000,3f775eda-31cf-4cd4-924e-69a8fcdba3be,6af94dc737ba44ed3252fe6e08861b682c1c378ccbf05e939101bf00a8e08f31,536688.750000,STANDARD
54,CANCELLED,2021-01-06 14:45:29.000000000,,2021-03-11 10:17:06.000000000,0e8fc14a-b53f-423d-a1a7-03376af5d73e,e63faaebcad7b0395f980893ed785f8d4fc26511395cd34d52238bae5727a917,744202.500000,STANDARD
61,CANCELLED,2021-01-04 17:02:38.000000000,,2021-09-02 11:46:00.000000000,a404e34c-baec-4d74-baa4-bf1e0845e64f,1cedff20e37743f302c7067c2f5a9297ff150eeb962e0ac3687c82ac542003ef,416032.500000,STANDARD
62,COMPLETED,2021-01-06 17:10:47.000000000,2021-03-24 22:59:00.000000000,,0e8fc14a-b53f-423d-a1a7-03376af5d73e,e63faaebcad7b0395f980893ed785f8d4fc26511395cd34d52238bae5727a917,402534.000000,HMO
63,CANCELLED,2021-01-12 20:01:11.000000000,,2020-12-24 11:41:28.000000000,6808c4fd-ced5-4665-a602-844943fb0d04,325e020b9b40396ac5ff326b7234c285df54d00cde90602ec5c55caf09fb07b6,177398.000000,STANDARD
80,COMPLETED,2021-01-06 10:02:06.000000000,2021-02-24 22:59:00.000000000,,a8a45414-cd03-4df5-a26a-e64d2c51b0df,b07e61661335a22175ec2b4f46eb8c07c915df783a8bbe6f858c0b0981e8e775,917389.500000,STANDARD
81,COMPLETED,2021-01-06 09:20:33.000000000,2021-03-09 22:59:00.000000000,,a8a45414-cd03-4df5-a26a-e64d2c51b0df,b07e61661335a22175ec2b4f46eb8c07c915df783a8bbe6f858c0b0981e8e775,324369.380000,STANDARD
96,CANCELLED,2021-01-07 17:54:24.000000000,,2021-06-11 14:55:36.000000000,1c368fac-5959-4555-8e7f-985e6844d5c4,5de39d27f0c1626556eed3299b729b960f7811e7381058adecb4ede69eb71900,439281.000000,STANDARD
101,CANCELLED,2021-01-11 13:31:00.000000000,,2021-10-07 11:28:59.000000000,0e96c2c9-dedb-4ee8-915b-7a22a9524a53,6b1aff4115a71b0938989207e2aef0c025900516fbc31e48927bda555d27bbda,312462.000000,STANDARD
111,CANCELLED,2021-01-18 16:42:44.000000000,,2021-09-29 08:50:14.000000000,cf09571f-ce10-4021-a143-bad12db49b57,196349217b0224948c1010f3dd321390ddf8c91289d543a9dbab30ba63190688,527416.500000,STANDARD
112,COMPLETED,2021-01-07 18:18:53.000000000,2021-04-20 22:59:00.000000000,,1c368fac-5959-4555-8e7f-985e6844d5c4,5de39d27f0c1626556eed3299b729b960f7811e7381058adecb4ede69eb71900,351678.000000,STANDARD
113,COMPLETED,2021-01-07 18:30:16.000000000,2021-04-20 22:59:00.000000000,,1c368fac-5959-4555-8e7f-985e6844d5c4,5de39d27f0c1626556eed3299b729b960f7811e7381058adecb4ede69eb71900,279832.500000,STANDARD
114,CANCELLED,2021-01-07 18:35:35.000000000,,2021-06-11 14:57:36.000000000,1c368fac-5959-4555-8e7f-985e6844d5c4,5de39d27f0c1626556eed3299b729b960f7811e7381058adecb4ede69eb71900,290446.000000,STANDARD
115,COMPLETED,2021-01-07 18:42:30.000000000,2021-04-20 22:59:00.000000000,,1c368fac-5959-4555-8e7f-985e6844d5c4,5de39d27f0c1626556eed3299b729b960f7811e7381058adecb4ede69eb71900,379177.000000,STANDARD
117,CANCELLED,2021-01-11 12:14:03.000000000,,2021-04-20 17:06:47.000000000,bea3302e-eda9-4384-955d-b8b9f55c8d7f,ace56af711686fa56cdf644fab87b1c7c7ca6f4d087266c52aa7f5443f20c1d5,722678.750000,STANDARD
118,COMPLETED,2021-01-21 12:01:07.000000000,2021-10-08 22:59:00.000000000,,6cc231c5-a0ca-4e0a-8591-31db1eb12ab2,a2f13784c2526dcdcb1c788e1c9cd6757f6a97540119f73b173177655386a353,152551.000000,STANDARD
120,COMPLETED,2021-01-08 10:56:16.000000000,2021-03-26 22:59:00.000000000,,833424f0-9fbc-41e6-bdd2-eb18ffecb05b,1822b076d2fde4eb3e84224cb6a6a2d578a55368fa343113c35be0216f02a6b0,154760.000000,MUFB
125,COMPLETED,2021-01-14 19:02:36.000000000,2021-08-03 22:59:00.000000000,,d0136f69-4397-4b24-bfa7-6ed40323431d,3cc79facf052fc0d39e2a63597ffc5789a5ef8e657ed34ff344e806d032c1f6f,132123.000000,STANDARD
126,COMPLETED,2021-01-29 10:52:37.000000000,2021-06-17 22:59:00.000000000,,6cc231c5-a0ca-4e0a-8591-31db1eb12ab2,a2f13784c2526dcdcb1c788e1c9cd6757f6a97540119f73b173177655386a353,346028.000000,MUFB
127,CANCELLED,2021-01-29 10:44:12.000000000,,2021-10-15 10:30:19.000000000,6cc231c5-a0ca-4e0a-8591-31db1eb12ab2,a2f13784c2526dcdcb1c788e1c9cd6757f6a97540119f73b173177655386a353,346028.000000,MUFB
128,CANCELLED,2021-01-29 10:35:14.000000000,,2021-10-15 10:27:14.000000000,6cc231c5-a0ca-4e0a-8591-31db1eb12ab2,a2f13784c2526dcdcb1c788e1c9cd6757f6a97540119f73b173177655386a353,346028.000000,MUFB
130,CANCELLED,2021-01-21 13:26:27.000000000,,2021-10-14 14:58:02.000000000,6cc231c5-a0ca-4e0a-8591-31db1eb12ab2,a2f13784c2526dcdcb1c788e1c9cd6757f6a97540119f73b173177655386a353,346028.000000,MUFB
131,CANCELLED,2021-01-21 13:23:03.000000000,,2021-03-31 14:12:55.000000000,6cc231c5-a0ca-4e0a-8591-31db1eb12ab2,a2f13784c2526dcdcb1c788e1c9cd6757f6a97540119f73b173177655386a353,283871.000000,MUFB
133,CANCELLED,2021-01-11 12:21:32.000000000,,2021-04-20 17:06:16.000000000,bea3302e-eda9-4384-955d-b8b9f55c8d7f,ace56af711686fa56cdf644fab87b1c7c7ca6f4d087266c52aa7f5443f20c1d5,790673.750000,STANDARD
135,CANCELLED,2021-02-08 12:13:11.000000000,,,65fe6f3e-f2e4-434e-80d2-1fc5be92c9e3,617f19e1a831532f31da8b95e36001b41629e536de3e825ae540689c05ef99d5,502458.000000,STANDARD
143,CANCELLED,2021-01-11 15:29:03.000000000,,,6fb967b9-3f2e-4ae7-9251-5a1ea8e671be,ea059c51482377f8be10b634f3c721e37745346baeba435aa82830d53f2088e3,351251.250000,STANDARD
146,COMPLETED,2021-01-12 12:21:41.000000000,2021-04-28 22:59:00.000000000,,29138dc0-bafe-479e-8206-fc9b2eaeee61,6702c41cb46280436bd51ba27456f70b961a95f62fde55f89ec971a5e604e00f,123682.000000,STANDARD
148,COMPLETED,2021-01-14 13:12:11.000000000,2021-03-22 22:59:00.000000000,,0e8fc14a-b53f-423d-a1a7-03376af5d73e,e63faaebcad7b0395f980893ed785f8d4fc26511395cd34d52238bae5727a917,346028.000000,STANDARD
149,COMPLETED,2021-01-14 13:13:50.000000000,2021-03-22 22:59:00.000000000,,0e8fc14a-b53f-423d-a1a7-03376af5d73e,e63faaebcad7b0395f980893ed785f8d4fc26511395cd34d52238bae5727a917,330959.000000,STANDARD
162,COMPLETED,2021-01-12 15:40:21.000000000,2021-06-11 22:59:00.000000000,,f2ffd192-039a-4a24-8943-9517400451ec,ea059c51482377f8be10b634f3c721e37745346baeba435aa82830d53f2088e3,542946.000000,MUFB
176,CANCELLED,2021-01-14 14:12:56.000000000,,2021-02-10 17:24:48.000000000,8898e1cd-d55c-4a58-b429-1f23ece4cbb5,72af36bef0a8a95254b0327c2de277193a39e876c3259d484571c0222d04f899,104501.630000,STANDARD
178,CANCELLED,2021-01-14 14:22:02.000000000,,2021-02-10 17:24:49.000000000,8898e1cd-d55c-4a58-b429-1f23ece4cbb5,72af36bef0a8a95254b0327c2de277193a39e876c3259d484571c0222d04f899,100327.250000,STANDARD
179,CANCELLED,2021-01-14 14:27:43.000000000,,2021-02-10 17:24:50.000000000,8898e1cd-d55c-4a58-b429-1f23ece4cbb5,72af36bef0a8a95254b0327c2de277193a39e876c3259d484571c0222d04f899,100327.250000,STANDARD
181,CANCELLED,2021-01-20 12:57:17.000000000,,2021-04-19 08:35:44.000000000,8131954a-be66-4c22-8183-e51b4a1004f0,ea04190556b04a6b3f18f490c15dce3db8695fac637bb100820dcbd00d65314c,952440.300000,STANDARD
182,CANCELLED,2021-01-19 17:27:53.000000000,,2021-05-04 13:00:04.000000000,8131954a-be66-4c22-8183-e51b4a1004f0,ea04190556b04a6b3f18f490c15dce3db8695fac637bb100820dcbd00d65314c,799947.000000,STANDARD
186,CANCELLED,2021-01-19 15:48:44.000000000,,2021-03-02 14:41:25.000000000,c95adf40-2d9b-4dc5-85c0-107b6634ae92,c69fc6b68282abb72ec6936a849c57fe7c44a08b54c725ce0b687e5acb1b25d1,326250.000000,HMO
191,COMPLETED,2021-01-20 11:38:38.000000000,2021-06-08 22:59:00.000000000,,dfca4826-46f4-440e-914a-372f13a8fbdc,617fc15fcff0e4016962c9c25ed218f986e369e07ab379fa4cb2bb5b180ac52b,289521.000000,HMO
192,CANCELLED,2021-01-15 10:17:13.000000000,,2021-09-08 14:25:34.000000000,89f13a5a-a354-4a4a-b6b2-3fd344874fc0,72af36bef0a8a95254b0327c2de277193a39e876c3259d484571c0222d04f899,175479.000000,STANDARD
194,COMPLETED,2021-01-15 17:23:29.000000000,2021-04-01 22:59:00.000000000,,5ac95379-27b3-4ead-b733-d6e88cc7c27d,3c22c9cc67b2934ad4b442cc0b40ce968c6e83b648c2b85d5f65f392ce028f40,128356.000000,STANDARD
198,COMPLETED,2021-01-15 14:13:08.000000000,2021-04-01 22:59:00.000000000,,5ac95379-27b3-4ead-b733-d6e88cc7c27d,3c22c9cc67b2934ad4b442cc0b40ce968c6e83b648c2b85d5f65f392ce028f40,143808.000000,STANDARD
199,CANCELLED,2021-02-18 16:21:38.000000000,,2021-09-02 11:49:03.000000000,c95adf40-2d9b-4dc5-85c0-107b6634ae92,c69fc6b68282abb72ec6936a849c57fe7c44a08b54c725ce0b687e5acb1b25d1,314103.000000,STANDARD
205,CANCELLED,2021-01-15 15:25:28.000000000,,2021-01-15 15:16:25.000000000,5ac95379-27b3-4ead-b733-d6e88cc7c27d,3c22c9cc67b2934ad4b442cc0b40ce968c6e83b648c2b85d5f65f392ce028f40,106795.000000,STANDARD
207,COMPLETED,2021-01-15 18:11:28.000000000,2021-03-26 22:59:00.000000000,,5ac95379-27b3-4ead-b733-d6e88cc7c27d,3c22c9cc67b2934ad4b442cc0b40ce968c6e83b648c2b85d5f65f392ce028f40,128356.000000,STANDARD
212,CANCELLED,2021-01-19 09:49:30.000000000,,2021-06-23 11:43:53.000000000,a6f68ca3-dbd7-45a7-9826-dfffc66f5547,7f500937103faec98a29fe4744ccdfbdcd2194a648be781d2e533b74b3855f44,268742.750000,STANDARD
213,CANCELLED,2021-01-19 10:01:17.000000000,,2021-06-23 11:44:55.000000000,a6f68ca3-dbd7-45a7-9826-dfffc66f5547,7f500937103faec98a29fe4744ccdfbdcd2194a648be781d2e533b74b3855f44,188415.500000,STANDARD
227,CANCELLED,2021-01-31 20:33:20.000000000,,2021-03-22 16:44:20.000000000,b3026218-a0e9-4e59-a9ad-441816d7b3d9,f33cdab5a651a205e8389d44ad598b1af2d2e46464d3c6e9b6e71f9754779537,229469.000000,STANDARD
230,COMPLETED,2021-01-29 10:44:03.000000000,2021-06-21 22:59:00.000000000,,833424f0-9fbc-41e6-bdd2-eb18ffecb05b,1822b076d2fde4eb3e84224cb6a6a2d578a55368fa343113c35be0216f02a6b0,263151.000000,HMO
234,CANCELLED,2021-01-25 16:17:30.000000000,,2021-09-24 13:49:12.000000000,a7edc14f-0958-4224-971b-12143eb49508,196349217b0224948c1010f3dd321390ddf8c91289d543a9dbab30ba63190688,369004.000000,STANDARD
236,COMPLETED,2021-01-25 10:44:03.000000000,2021-03-22 22:59:00.000000000,,4035d61f-38ac-4a19-a89b-65b22372e685,4a861d8de464339838914b91e0b393b5147b41873b10d0afb3323e0a99ee092a,123000.880000,STANDARD
240,COMPLETED,2021-01-20 14:29:09.000000000,2021-06-04 22:59:00.000000000,,f31d7ef3-9ea7-4c9f-a2ba-4304b68f2a46,94432402ea6e772e5bf2894fdd31e1c2d34f47a3ba075d5a6c3f9dfbbcd23589,182107.000000,STANDARD
241,COMPLETED,2021-02-23 09:36:31.000000000,2021-05-05 22:59:00.000000000,,6808c4fd-ced5-4665-a602-844943fb0d04,325e020b9b40396ac5ff326b7234c285df54d00cde90602ec5c55caf09fb07b6,474381.500000,STANDARD
248,CANCELLED,2021-01-22 15:05:49.000000000,,2021-10-11 13:04:35.000000000,1a37e915-10c2-49fa-bc8d-01fb535cd6c4,28a21fc709234578d62dc0a7984021ef4fd37687dae673fd1cfe163fb34a0b74,97701.500000,STANDARD
249,COMPLETED,2021-01-21 14:40:37.000000000,2021-04-01 22:59:00.000000000,,4507a377-3fdd-4214-a085-3429c0591258,31f7b7a2313ff75870e756b74f34d1de2eb0e3848adc939819b9663f02dac1b6,168792.000000,STANDARD
252,COMPLETED,2021-01-22 10:39:51.000000000,2021-04-27 22:59:00.000000000,,833424f0-9fbc-41e6-bdd2-eb18ffecb05b,1822b076d2fde4eb3e84224cb6a6a2d578a55368fa343113c35be0216f02a6b0,255034.500000,STANDARD
255,COMPLETED,2021-01-27 15:13:04.000000000,2021-07-16 22:59:00.000000000,,fd7b2fca-5c01-4423-b82a-4581a9d8128d,81a346a855be30c5084b41c6fd2478e833ee0f569ca4d06d01b8eb1252890502,208222.630000,MUFB
257,COMPLETED,2021-01-21 18:22:22.000000000,2021-03-16 22:59:00.000000000,,f2ffd192-039a-4a24-8943-9517400451ec,ea059c51482377f8be10b634f3c721e37745346baeba435aa82830d53f2088e3,480789.000000,HMO
265,CANCELLED,2021-01-25 15:52:19.000000000,,,4035d61f-38ac-4a19-a89b-65b22372e685,4a861d8de464339838914b91e0b393b5147b41873b10d0afb3323e0a99ee092a,307992.630000,STANDARD
268,CANCELLED,2021-01-26 09:31:49.000000000,,2021-10-15 11:09:26.000000000,6cc231c5-a0ca-4e0a-8591-31db1eb12ab2,a2f13784c2526dcdcb1c788e1c9cd6757f6a97540119f73b173177655386a353,166231.000000,STANDARD
269,COMPLETED,2021-02-05 11:03:45.000000000,2021-05-19 22:59:00.000000000,,6808c4fd-ced5-4665-a602-844943fb0d04,325e020b9b40396ac5ff326b7234c285df54d00cde90602ec5c55caf09fb07b6,194502.000000,STANDARD
270,CANCELLED,2021-01-22 15:32:53.000000000,,2021-10-11 13:03:50.000000000,1a37e915-10c2-49fa-bc8d-01fb535cd6c4,28a21fc709234578d62dc0a7984021ef4fd37687dae673fd1cfe163fb34a0b74,97701.500000,STANDARD
273,CANCELLED,2021-01-22 16:40:27.000000000,,2021-01-22 15:41:45.000000000,1a37e915-10c2-49fa-bc8d-01fb535cd6c4,28a21fc709234578d62dc0a7984021ef4fd37687dae673fd1cfe163fb34a0b74,150245.500000,STANDARD
274,CANCELLED,2021-01-22 16:55:14.000000000,,2021-02-24 12:37:57.000000000,1a37e915-10c2-49fa-bc8d-01fb535cd6c4,28a21fc709234578d62dc0a7984021ef4fd37687dae673fd1cfe163fb34a0b74,196716.750000,STANDARD
278,COMPLETED,2021-01-25 16:44:16.000000000,2021-06-02 22:59:00.000000000,,4035d61f-38ac-4a19-a89b-65b22372e685,4a861d8de464339838914b91e0b393b5147b41873b10d0afb3323e0a99ee092a,267303.500000,STANDARD
280,CANCELLED,2021-01-22 17:11:04.000000000,,2021-10-11 13:05:43.000000000,1a37e915-10c2-49fa-bc8d-01fb535cd6c4,28a21fc709234578d62dc0a7984021ef4fd37687dae673fd1cfe163fb34a0b74,135351.690000,STANDARD
291,COMPLETED,2021-01-26 18:34:16.000000000,2021-04-21 22:59:00.000000000,,d0136f69-4397-4b24-bfa7-6ed40323431d,3cc79facf052fc0d39e2a63597ffc5789a5ef8e657ed34ff344e806d032c1f6f,128356.000000,STANDARD
293,CANCELLED,2021-01-26 11:39:03.000000000,,2021-11-16 18:38:51.000000000,b3026218-a0e9-4e59-a9ad-441816d7b3d9,f33cdab5a651a205e8389d44ad598b1af2d2e46464d3c6e9b6e71f9754779537,162329.000000,STANDARD
294,CANCELLED,2021-01-26 12:05:14.000000000,,2021-11-16 18:41:59.000000000,b3026218-a0e9-4e59-a9ad-441816d7b3d9,f33cdab5a651a205e8389d44ad598b1af2d2e46464d3c6e9b6e71f9754779537,162329.000000,STANDARD
295,CANCELLED,2021-01-26 13:59:43.000000000,,2021-11-16 18:41:59.000000000,b3026218-a0e9-4e59-a9ad-441816d7b3d9,f33cdab5a651a205e8389d44ad598b1af2d2e46464d3c6e9b6e71f9754779537,162329.000000,STANDARD
296,CANCELLED,2021-01-26 14:07:17.000000000,,2021-11-16 18:36:56.000000000,b3026218-a0e9-4e59-a9ad-441816d7b3d9,f33cdab5a651a205e8389d44ad598b1af2d2e46464d3c6e9b6e71f9754779537,164195.000000,STANDARD
301,CANCELLED,2021-03-19 13:24:37.000000000,,,6808c4fd-ced5-4665-a602-844943fb0d04,325e020b9b40396ac5ff326b7234c285df54d00cde90602ec5c55caf09fb07b6,146698.600000,STANDARD
307,CANCELLED,2021-01-27 13:22:44.000000000,,,54560769-20b2-4585-ac2f-2d046ae2eacf,06ec5035557395356d5bb658a7577c7c0608bd5b180b017d780df7b29b8d10b0,97701.500000,STANDARD
309,COMPLETED,2021-01-29 17:40:07.000000000,2021-06-17 22:59:00.000000000,,833424f0-9fbc-41e6-bdd2-eb18ffecb05b,1822b076d2fde4eb3e84224cb6a6a2d578a55368fa343113c35be0216f02a6b0,150245.500000,STANDARD
320,CANCELLED,2021-03-18 19:36:33.000000000,,,5ac95379-27b3-4ead-b733-d6e88cc7c27d,3c22c9cc67b2934ad4b442cc0b40ce968c6e83b648c2b85d5f65f392ce028f40,126507.000000,HMO
326,CANCELLED,2021-02-02 16:06:05.000000000,,2021-08-20 08:32:21.000000000,9a99ab3e-09fa-4eb8-aeaa-132b5d2361aa,0f80a61af66cef6c47022cfdcb2a67f4ef08c4297f767954c927a69a70a86d27,131444.500000,STANDARD
328,COMPLETED,2021-01-29 15:42:54.000000000,2021-09-08 22:59:00.000000000,,00ca468e-3630-4fe6-b0fd-86f6d27e3b40,cc533ea8aa51b56615878636de8f4570820d879ddc7abae0ff7a35a15ef7a30d,184932.000000,MUFB
330,CANCELLED,2021-02-03 10:00:21.000000000,,2021-03-03 14:17:17.000000000,6808c4fd-ced5-4665-a602-844943fb0d04,325e020b9b40396ac5ff326b7234c285df54d00cde90602ec5c55caf09fb07b6,132158.000000,STANDARD
346,CANCELLED,2021-02-03 13:36:06.000000000,,2021-06-23 16:04:56.000000000,0e8fc14a-b53f-423d-a1a7-03376af5d73e,e63faaebcad7b0395f980893ed785f8d4fc26511395cd34d52238bae5727a917,319564.300000,STANDARD
357,COMPLETED,2021-01-31 19:37:45.000000000,2021-03-15 22:59:00.000000000,,f2ffd192-039a-4a24-8943-9517400451ec,ea059c51482377f8be10b634f3c721e37745346baeba435aa82830d53f2088e3,533817.500000,STANDARD
375,COMPLETED,2021-02-11 12:27:12.000000000,2021-06-01 22:59:00.000000000,,b1a7d9e0-6d3b-4f31-80b3-da8884b9aa87,1221bf801f26715febdf7117bc38b502a0601b18af90289a33104b570ca5b9a9,234225.000000,STANDARD
376,IN_PROGRESS,2021-02-02 16:50:57.000000000,,,9a99ab3e-09fa-4eb8-aeaa-132b5d2361aa,0f80a61af66cef6c47022cfdcb2a67f4ef08c4297f767954c927a69a70a86d27,184628.000000,STANDARD
377,CANCELLED,2021-02-02 17:08:59.000000000,,2021-08-06 14:13:46.000000000,9a99ab3e-09fa-4eb8-aeaa-132b5d2361aa,0f80a61af66cef6c47022cfdcb2a67f4ef08c4297f767954c927a69a70a86d27,341829.500000,STANDARD
378,COMPLETED,2021-02-02 17:22:51.000000000,2021-06-02 22:59:00.000000000,,9a99ab3e-09fa-4eb8-aeaa-132b5d2361aa,0f80a61af66cef6c47022cfdcb2a67f4ef08c4297f767954c927a69a70a86d27,268713.500000,STANDARD
379,COMPLETED,2021-02-03 16:35:54.000000000,2021-08-19 22:59:00.000000000,,9a99ab3e-09fa-4eb8-aeaa-132b5d2361aa,0f80a61af66cef6c47022cfdcb2a67f4ef08c4297f767954c927a69a70a86d27,447022.500000,STANDARD
381,IN_PROGRESS,2021-02-03 16:40:05.000000000,,,9a99ab3e-09fa-4eb8-aeaa-132b5d2361aa,0f80a61af66cef6c47022cfdcb2a67f4ef08c4297f767954c927a69a70a86d27,273984.000000,STANDARD
387,IN_PROGRESS,2021-02-03 13:50:57.000000000,,,9a99ab3e-09fa-4eb8-aeaa-132b5d2361aa,0f80a61af66cef6c47022cfdcb2a67f4ef08c4297f767954c927a69a70a86d27,94396.000000,STANDARD
389,CANCELLED,2021-02-03 14:05:38.000000000,,,9a99ab3e-09fa-4eb8-aeaa-132b5d2361aa,0f80a61af66cef6c47022cfdcb2a67f4ef08c4297f767954c927a69a70a86d27,94396.000000,STANDARD
390,IN_PROGRESS,2021-02-03 14:15:54.000000000,,,9a99ab3e-09fa-4eb8-aeaa-132b5d2361aa,0f80a61af66cef6c47022cfdcb2a67f4ef08c4297f767954c927a69a70a86d27,122320.750000,STANDARD
391,IN_PROGRESS,2021-02-03 14:23:56.000000000,,,9a99ab3e-09fa-4eb8-aeaa-132b5d2361aa,0f80a61af66cef6c47022cfdcb2a67f4ef08c4297f767954c927a69a70a86d27,93115.000000,STANDARD
392,COMPLETED,2021-02-03 16:09:33.000000000,2021-03-31 22:59:00.000000000,,fded6a9b-549c-4f47-a820-118001368786,4a31e715c18691a62bb1022c7fab48bea79ba37d7023249ef22db47617565937,919830.000000,MUFB
393,IN_PROGRESS,2021-02-03 14:36:42.000000000,,,9a99ab3e-09fa-4eb8-aeaa-132b5d2361aa,0f80a61af66cef6c47022cfdcb2a67f4ef08c4297f767954c927a69a70a86d27,116471.250000,STANDARD
394,IN_PROGRESS,2021-02-03 14:49:45.000000000,,,9a99ab3e-09fa-4eb8-aeaa-132b5d2361aa,0f80a61af66cef6c47022cfdcb2a67f4ef08c4297f767954c927a69a70a86d27,137995.000000,STANDARD
395,IN_PROGRESS,2021-02-03 14:57:34.000000000,,,9a99ab3e-09fa-4eb8-aeaa-132b5d2361aa,0f80a61af66cef6c47022cfdcb2a67f4ef08c4297f767954c927a69a70a86d27,116471.250000,STANDARD
396,CANCELLED,2021-02-03 15:04:17.000000000,,,9a99ab3e-09fa-4eb8-aeaa-132b5d2361aa,0f80a61af66cef6c47022cfdcb2a67f4ef08c4297f767954c927a69a70a86d27,94396.000000,STANDARD
397,IN_PROGRESS,2021-02-03 15:39:58.000000000,,,9a99ab3e-09fa-4eb8-aeaa-132b5d2361aa,0f80a61af66cef6c47022cfdcb2a67f4ef08c4297f767954c927a69a70a86d27,122320.750000,STANDARD
399,IN_PROGRESS,2021-02-03 15:49:55.000000000,,,9a99ab3e-09fa-4eb8-aeaa-132b5d2361aa,0f80a61af66cef6c47022cfdcb2a67f4ef08c4297f767954c927a69a70a86d27,116471.250000,STANDARD
400,IN_PROGRESS,2021-02-03 15:57:39.000000000,,,9a99ab3e-09fa-4eb8-aeaa-132b5d2361aa,0f80a61af66cef6c47022cfdcb2a67f4ef08c4297f767954c927a69a70a86d27,122320.750000,STANDARD
401,CANCELLED,2021-02-03 16:10:33.000000000,,,9a99ab3e-09fa-4eb8-aeaa-132b5d2361aa,0f80a61af66cef6c47022cfdcb2a67f4ef08c4297f767954c927a69a70a86d27,94396.000000,STANDARD
402,IN_PROGRESS,2021-02-03 16:17:10.000000000,,,9a99ab3e-09fa-4eb8-aeaa-132b5d2361aa,0f80a61af66cef6c47022cfdcb2a67f4ef08c4297f767954c927a69a70a86d27,78720.750000,STANDARD
403,COMPLETED,2021-02-03 16:30:26.000000000,2021-09-15 22:59:00.000000000,,9a99ab3e-09fa-4eb8-aeaa-132b5d2361aa,0f80a61af66cef6c47022cfdcb2a67f4ef08c4297f767954c927a69a70a86d27,137442.500000,STANDARD
